"Country","Activity","Minutes","Hours"
"Poland","Other unpaid work & volunteering",38,0.6
"Portugal","Other unpaid work & volunteering",35,0.6
"Slovenia","Other unpaid work & volunteering",31,0.5
"Spain","Other unpaid work & volunteering",53,0.9
"Sweden","Other unpaid work & volunteering",33,0.6
"Turkey","Other unpaid work & volunteering",59,1
"UK","Other unpaid work & volunteering",62,1
"USA","Other unpaid work & volunteering",65,1.1
"China","Other unpaid work & volunteering",32,0.5
"India","Other unpaid work & volunteering",22,0.4
"South Africa","Other unpaid work & volunteering",40,0.7
"Australia","Sleep",512,8.5
"Austria","Sleep",498,8.3
"Belgium","Sleep",512,8.5
"Canada","Sleep",520,8.7
"Denmark","Sleep",488,8.1
"Estonia","Sleep",530,8.8
"Finland","Sleep",508,8.5
"France","Sleep",512,8.5
"Germany","Sleep",498,8.3
"Greece","Sleep",500,8.3
"Hungary","Sleep",505,8.4
"Ireland","Sleep",491,8.2
"Italy","Sleep",513,8.6
"Japan","Sleep",442,7.4
"Korea","Sleep",471,7.8
"Latvia","Sleep",512,8.5
"Lithuania","Sleep",503,8.4
"Luxembourg","Sleep",518,8.6
"Mexico","Sleep",498,8.3
"Netherlands","Sleep",502,8.4
"New Zealand","Sleep",526,8.8
"Norway","Sleep",492,8.2
"Poland","Sleep",508,8.5
"Portugal","Sleep",505,8.4
"Slovenia","Sleep",501,8.3
"Spain","Sleep",515,8.6
"Sweden","Sleep",482,8
"Turkey","Sleep",514,8.6
"UK","Sleep",508,8.5
"USA","Sleep",528,8.8
"China","Sleep",541,9
"India","Sleep",528,8.8
"South Africa","Sleep",553,9.2
"Australia","Eating and drinking",89,1.5
"Austria","Eating and drinking",78,1.3
"Belgium","Eating and drinking",98,1.6
"Canada","Eating and drinking",64,1.1
"Denmark","Eating and drinking",119,2
"Estonia","Eating and drinking",78,1.3
"Finland","Eating and drinking",80,1.3
"France","Eating and drinking",132,2.2
"Germany","Eating and drinking",94,1.6
"Greece","Eating and drinking",127,2.1
"Hungary","Eating and drinking",101,1.7
"Ireland","Eating and drinking",75,1.2
"Italy","Eating and drinking",126,2.1
"Japan","Eating and drinking",93,1.6
"Korea","Eating and drinking",116,1.9
"Latvia","Eating and drinking",88,1.5
"Lithuania","Eating and drinking",88,1.5
"Luxembourg","Eating and drinking",112,1.9
"Mexico","Eating and drinking",77,1.3
"Netherlands","Eating and drinking",114,1.9
"New Zealand","Eating and drinking",80,1.3
"Norway","Eating and drinking",79,1.3
"Poland","Eating and drinking",90,1.5
"Portugal","Eating and drinking",111,1.9
"Slovenia","Eating and drinking",85,1.4
"Spain","Eating and drinking",125,2.1
"Sweden","Eating and drinking",82,1.4
"Turkey","Eating and drinking",117,2
"UK","Eating and drinking",79,1.3
"USA","Eating and drinking",62,1
"China","Eating and drinking",99,1.6
"India","Eating and drinking",83,1.4
"South Africa","Eating and drinking",72,1.2
"Australia","Personal care",56,0.9
"Austria","Personal care",54,0.9
"Belgium","Personal care",52,0.9
"Canada","Personal care",52,0.9
"Denmark","Personal care",51,0.8
"Estonia","Personal care",53,0.9
"Finland","Personal care",51,0.8
"France","Personal care",106,1.8
"Germany","Personal care",54,0.9
"Greece","Personal care",57,0.9
"Hungary","Personal care",76,1.3
"Ireland","Personal care",42,0.7
"Italy","Personal care",67,1.1
"Japan","Personal care",84,1.4
"Korea","Personal care",89,1.5
"Latvia","Personal care",40,0.7
"Lithuania","Personal care",54,0.9
"Luxembourg","Personal care",55,0.9
"Mexico","Personal care",57,0.9
"Netherlands","Personal care",64,1.1
"New Zealand","Personal care",42,0.7
"Norway","Personal care",55,0.9
"Poland","Personal care",57,0.9
"Portugal","Personal care",58,1
"Slovenia","Personal care",40,0.7
"Spain","Personal care",50,0.8
"Sweden","Personal care",57,0.9
"Turkey","Personal care",49,0.8
"UK","Personal care",57,0.9
"USA","Personal care",57,0.9
"China","Personal care",51,0.8
"India","Personal care",75,1.2
"South Africa","Personal care",69,1.1
"Australia","Sports",19,0.3
"Austria","Sports",32,0.5
"Belgium","Sports",21,0.3
"Canada","Sports",20,0.3
"Denmark","Sports",22,0.4
"Estonia","Sports",27,0.4
"Finland","Sports",37,0.6
"France","Sports",11,0.2
"Germany","Sports",26,0.4
"Greece","Sports",27,0.4
"Hungary","Sports",12,0.2
"Ireland","Sports",20,0.3
"Italy","Sports",38,0.6
"Japan","Sports",10,0.2
"Korea","Sports",27,0.4
"Latvia","Sports",24,0.4
"Lithuania","Sports",15,0.2
"Luxembourg","Sports",33,0.6
"Mexico","Sports",13,0.2
"Netherlands","Sports",22,0.4
"New Zealand","Sports",17,0.3
"Norway","Sports",20,0.3
"Poland","Sports",23,0.4
"Portugal","Sports",12,0.2
"Slovenia","Sports",31,0.5
"Spain","Sports",41,0.7
"Sweden","Sports",34,0.6
"Turkey","Sports",9,0.1
"UK","Sports",19,0.3
"USA","Sports",17,0.3
"China","Sports",22,0.4
"India","Sports",5,0.1
"South Africa","Sports",5,0.1
"Australia","Attending events",6,0.1
"Austria","Attending events",9,0.1
"Belgium","Attending events",15,0.2
"Canada","Attending events",5,0.1
"Denmark","Attending events",7,0.1
"Estonia","Attending events",7,0.1
"Finland","Attending events",7,0.1
"France","Attending events",14,0.2
"Germany","Attending events",13,0.2
"Greece","Attending events",5,0.1
"Hungary","Attending events",5,0.1
"Ireland","Attending events",41,0.7
"Italy","Attending events",5,0.1
"Korea","Attending events",4,0.1
"Latvia","Attending events",4,0.1
"Lithuania","Attending events",1,0
"Luxembourg","Attending events",12,0.2
"Mexico","Attending events",7,0.1
"Netherlands","Attending events",6,0.1
"New Zealand","Attending events",6,0.1
"Norway","Attending events",8,0.1
"Poland","Attending events",2,0
"Portugal","Attending events",10,0.2
"Slovenia","Attending events",4,0.1
"Spain","Attending events",9,0.1
"Sweden","Attending events",8,0.1
"Turkey","Attending events",2,0
